protocolo;numero_licitacao;modalidade;cd_ugestora;valor_licitado;ano_homologacao;cnpj_proponente;valor_proposta;situacao_proposta
Doc. 00351/19;00004/2019;Pregao Presencial;201101;4800000;2019;1,9035E+12;19000000;1
Doc. 00353/19;00016/2018;Pregao Presencial;201160;28591549;2019;9,04446E+12;56759300;1
Doc. 00354/19;00001/2019;Pregao Presencial;201179;7701200;2019;5,56029E+12;1800000;1
Doc. 00358/19;00005/2019;Pregao Presencial;201179;3000000;2019;1,72513E+13;2200000;1
Doc. 00364/19;00002/2019;Pregao Presencial;201032;42123410;2019;9,55508E+12;7032970;1
Doc. 00364/19;00002/2019;Pregao Presencial;201032;42123410;2019;1,71581E+13;9939868;1
Doc. 00364/19;00002/2019;Pregao Presencial;201032;42123410;2019;1,72278E+13;28722552;1
Doc. 00365/19;00003/2019;Pregao Presencial;201032;42123410;2019;9,55508E+12;7319910;1
Doc. 00365/19;00003/2019;Pregao Presencial;201032;42123410;2019;1,71581E+13;9101484;1
Doc. 00367/19;00014/2018;Pregao Presencial;201143;42123410;2019;1,29685E+13;57467000;0
Doc. 00367/19;00014/2018;Pregao Presencial;201143;42123410;2019;2,91598E+13;39025000;1
Doc. 00368/19;00018/2018;Pregao Presencial;601143;750000;2019;1,29685E+13;23054000;0
Doc. 00368/19;00018/2018;Pregao Presencial;601143;20330000;2019;2,91598E+13;22055000;1
Doc. 00373/19;00001/2019;Pregao Presencial;201098;1280000;2019;6,07469E+13;8001000;1
Doc. 00374/19;00002/2019;Pregao Presencial;201098;18000000;2019;7,00975E+13;13992000;1
Doc. 00376/19;00001/2019;Pregao Presencial;201030;1048440;2019;3,81704E+12;30923740;1
Doc. 00376/19;00001/2019;Pregao Presencial;201030;1000000;2019;1,08317E+13;43357150;1
Doc. 00376/19;00001/2019;Pregao Presencial;201030;1048440;2019;2,02268E+13;44588350;1
Doc. 00376/19;00001/2019;Pregao Presencial;201030;2522922;2019;2,61569E+13;14334160;1
Doc. 00376/19;00001/2019;Pregao Presencial;201030;3000000;2019;4,07872E+13;24361800;1
Doc. 00376/19;00001/2019;Pregao Presencial;201030;1350000;2019;6,34789E+13;23709040;0
Doc. 00377/19;00002/2019;Pregao Presencial;201030;1560000;2019;9,58548E+11;10000000;1
Doc. 00377/19;00002/2019;Pregao Presencial;201030;1048440;2019;1,08317E+13;10000000;1
Doc. 00384/20;00012/2019;Tomada de Precos;201099;6895300;2020;1,5003E+13;9151698;1
Doc. 00388/20;00014/2019;Tomada de Precos;201099;6895300;2020;1,78098E+13;34088829;1
Doc. 00391/20;00013/2019;Tomada de Precos;201099;7163691;2020;1,78098E+13;37142360;1
Doc. 00400/20;00002/2020;Pregao Presencial;201032;7163691;2020;9,55508E+12;8588085;1
Doc. 00400/20;00002/2020;Pregao Presencial;201032;7163691;2020;1,32753E+13;19990236;1
Doc. 00400/20;00002/2020;Pregao Presencial;201032;7163691;2020;1,71581E+13;8036583;1
Doc. 00400/20;00002/2020;Pregao Presencial;201032;7163691;2020;1,72278E+13;21500870;1
Doc. 00401/20;00003/2020;Pregao Presencial;201032;44896000;2020;9,55508E+12;6429625;1
Doc. 00401/20;00003/2020;Pregao Presencial;201032;44896000;2020;1,32753E+13;6348970;1
Doc. 00401/20;00003/2020;Pregao Presencial;201032;4400000;2020;1,71581E+13;8131155;1
Doc. 00412/20;00002/2020;Pregao Presencial;201056;3299679;2020;4,61256E+12;25000000;1
Doc. 00428/20;00002/2020;Pregao Presencial;201201;13461291;2020;2,36642E+12;22493000;1
Doc. 00456/20;00005/2020;Pregao Presencial;201150;13353278;2020;1,18957E+13;10571500;1
Doc. 00456/20;00005/2020;Pregao Presencial;201150;13353278;2020;1,30949E+13;11887500;1
Doc. 00457/20;00023/2019;Pregao Presencial;201149;13353278;2020;1,37197E+13;21408000;1
Doc. 00457/20;00023/2019;Pregao Presencial;201149;13353278;2020;1,75734E+13;9524400;1
Doc. 00457/20;00023/2019;Pregao Presencial;201149;13353278;2020;2,45676E+13;8280000;1
Doc. 00474/20;00001/2020;Pregao Presencial;602026;13353278;2020;1,26361E+13;10625000;0
Doc. 00474/20;00001/2020;Pregao Presencial;602026;13353278;2020;1,40444E+13;6540000;0
Doc. 00474/20;00001/2020;Pregao Presencial;602026;13353278;2020;2,88842E+13;16324300;1
Doc. 00475/20;00001/2020;Pregao Presencial;601026;13353278;2020;1,26361E+13;10625000;0
Doc. 00475/20;00001/2020;Pregao Presencial;601026;13353278;2020;1,40444E+13;6540000;0
Doc. 00475/20;00001/2020;Pregao Presencial;601026;13353278;2020;2,88842E+13;16324300;1
Doc. 00476/20;00001/2020;Pregao Presencial;201026;13353278;2020;1,26361E+13;10625000;0
Doc. 00476/20;00001/2020;Pregao Presencial;201026;13353278;2020;1,40444E+13;6540000;0
Doc. 00476/20;00001/2020;Pregao Presencial;201026;13353278;2020;2,88842E+13;16324300;1
Doc. 00505/19;00002/2019;Pregao Presencial;201082;1560000;2019;3,09257E+12;27100000;1
Doc. 00513/20;00001/2020;Pregao Presencial;201060;13353278;2020;2,27329E+13;9120000;1
Doc. 00534/19;00099/2018;Pregao Presencial;201211;1270345294;2019;8,74214E+12;11200000;0
Doc. 00534/19;00099/2018;Pregao Presencial;201211;1270345294;2019;2,26468E+13;11200000;0
Doc. 00534/19;00099/2018;Pregao Presencial;201211;1560000;2019;2,46371E+13;8000000;0
Doc. 00534/19;00099/2018;Pregao Presencial;201211;1270345294;2019;3,06446E+13;11760000;1
Doc. 00535/20;00001/2020;Tomada de Precos;201013;13353278;2020;2,98421E+13;27672576;1
Doc. 00537/19;10001/2019;Pregao Presencial;601097;1270345294;2019;1,47712E+13;17665824;1
Doc. 00540/19;10002/2019;Pregao Presencial;601097;1270345294;2019;2,34471E+13;22500000;0
Doc. 00540/19;10002/2019;Pregao Presencial;601097;1270345294;2019;7,00975E+13;22000000;1
Doc. 00542/19;00001/2019;Pregao Presencial;201097;1270345294;2019;7,86524E+12;59157000;1
Doc. 00556/19;00001/2019;Pregao Presencial;601112;1270345294;2019;3,13186E+13;9000000;1
Doc. 00558/20;00001/2020;Tomada de Precos;201197;13353278;2020;9,13304E+12;7993254;1
Doc. 00583/20;00001/2020;Pregao Presencial;201197;16305200;2020;8,59661E+12;31604000;1
Doc. 00583/20;00001/2020;Pregao Presencial;201197;16305200;2020;1,17539E+13;15605000;1
Doc. 00583/20;00001/2020;Pregao Presencial;201197;16305200;2020;1,95942E+13;51588000;0
Doc. 00593/20;00004/2020;Pregao Presencial;201192;14232000;2020;2,86767E+13;7630000;1
Doc. 00598/20;00002/2020;Pregao Presencial;201132;22800000;2020;1,04322E+13;3080000;1
Doc. 00598/20;00002/2020;Pregao Presencial;201132;22800000;2020;3,10872E+13;5010000;1
Doc. 00610/20;00001/2020;Pregao Presencial;601132;3000000;2020;1,04322E+13;519880;1
