 15149/15;1,49767E+13;Vencedora
 09151/16;8,70115E+12;Vencedora
 15705/16;2,31416E+12;Perdedora
 15705/16;1,13922E+13;Perdedora
 15705/16;1,41408E+13;Vencedora
 18472/16;2,16068E+13;Perdedora
 18472/16;8,70115E+12;Perdedora
 18472/16;1,49767E+13;Vencedora
 05200/16;8,70115E+12;Perdedora
 05200/16;1,84305E+13;Vencedora
 10437/16;8,70115E+12;Vencedora
 44964/16;1,84305E+13;Perdedora
 44964/16;1,49767E+13;Perdedora
 44964/16;1,16226E+13;Vencedora
 61594/16;3,27897E+12;Vencedora
 21581/17;1,57059E+13;Vencedora
 29958/17;3,27897E+12;Vencedora
 12208/17;1,45754E+13;Perdedora
 12208/17;1,10942E+13;Perdedora
 12208/17;1,24027E+13;Perdedora
 12208/17;9,32653E+12;Perdedora
 12208/17;1,49767E+13;Vencedora
 23846/18;1,57059E+13;Vencedora
 46038/18;7,72847E+12;Vencedora
 51450/18;3,77559E+12;Vencedora
 72566/18;4,11184E+13;Vencedora
 06239/19;1,17367E+13;Perdedora
 06239/19;3,27897E+12;Perdedora
 06239/19;1,84305E+13;Vencedora
 81722/18;7,60931E+12;Perdedora
 81722/18;1,33511E+13;Perdedora
 81722/18;2,02564E+13;Vencedora
 81733/18;2,67812E+13;Perdedora
 81733/18;1,33511E+13;Vencedora
 12306/19;2,79446E+13;Vencedora
 12326/19;2,79446E+13;Vencedora
 12892/19;8,52714E+12;Perdedora
 12892/19;5,75775E+12;Perdedora
 12892/19;3,3954E+12;Vencedora
 18661/19;2,91076E+13;Vencedora
 18669/19;2,91076E+13;Vencedora
 23269/19;3,27897E+12;Vencedora
 04354/20;1,74907E+13;Vencedora
 04866/20;3,13816E+13;Vencedora
 13926/20;3,11722E+13;Vencedora
 35472/20;4,06464E+12;Vencedora
 35474/20;2,48703E+13;Vencedora
 37570/20;3,13234E+12;Vencedora
 46822/20;2,42154E+13;Vencedora
 48789/20;1,33511E+13;Vencedora
 62953/20;1,33511E+13;Vencedora
 63100/20;3,5675E+13;Vencedora
 57072/20;3,47466E+13;Vencedora
 06396/21;3,49551E+13;Vencedora
 08522/21;3,76337E+13;Vencedora
