ident_licit;cnpj_proponente;situacao_proposta
2059820;8,69E+12;0
2059820;3,37E+13;0
2059820;2,29E+12;1
2060320;9,33E+12;0
2060320;7,26E+12;0
2060320;3,37E+13;0
2060320;2,29E+12;0
2060320;2,12E+13;0
2060320;8,69E+12;1
2060420;5,88E+12;1
2068120;1,29E+13;1
579020;1,23E+13;1
579420;2,98E+13;0
579420;8,44E+12;0
579420;9,76E+11;1
581720;2,99E+13;1
581720;3,05E+13;1
581720;2,75E+13;1
581720;2,72E+13;1
581720;1,11E+13;1
581720;3,27E+13;1
581720;2,96E+13;1
581720;2,17E+13;1
581720;2,98E+13;1
581720;2,98E+13;1
581720;2,97E+13;1
581720;8,69E+12;1
581720;2,74E+13;1
581720;2,97E+13;1
581720;2,96E+13;1
581720;2,94E+13;1
2081520;4,33E+12;1
2081620;4,33E+12;1
2088020;1,94E+13;1
2088420;2,52E+13;0
2088420;2,93E+13;0
2088420;2,78E+13;1
2088520;2,52E+13;0
2088520;2,78E+13;1
2088720;2,52E+13;0
2088720;2,78E+13;1
2089620;1,06E+13;1
595320;3,34E+13;1
2114220;7,59E+12;1
2114420;2,67E+13;1
2118120;2,49E+13;0
2118120;1,03E+13;0
2118120;9,08E+12;1
2120720;2,09E+13;1
2129220;2,68E+13;1
611320;2,29E+13;1
2155520;3,56E+13;1
2155620;2,43E+13;1
2161920;2,99E+13;1
2167220;7,16E+12;1
2172520;2,24E+13;0
2172520;1,74E+13;1
2172520;1,30E+13;1
2178320;3,25E+13;0
2178320;2,44E+13;0
2178320;2,80E+13;1
2182120;2,19E+13;1
628920;4,30E+12;1
2191920;1,50E+13;0
2191920;2,93E+13;0
2191920;2,52E+13;0
2191920;3,53E+13;0
2191920;2,78E+13;1
2192520;1,50E+13;0
2192520;8,70E+12;0
2192520;2,36E+13;0
2192520;2,78E+13;0
2192520;2,28E+13;0
2192520;2,52E+13;1
2202520;1,19E+13;1
2202720;2,72E+13;1
2212620;1,43E+13;0
2212620;4,67E+12;1
2215120;1,43E+13;0
2215120;2,68E+13;0
2215120;5,88E+12;0
2215120;3,02E+13;1
2220320;4,89E+12;1
2231020;2,29E+12;1
646020;3,02E+13;0
646020;2,19E+13;1
2236720;1,93E+13;0
2236720;1,80E+13;0
2236720;3,25E+13;1
2244220;1,12E+13;0
2244220;2,03E+13;0
2244220;1,38E+13;0
2244220;2,99E+13;0
2244220;2,18E+13;0
2244220;3,14E+13;1
2245020;2,71E+13;1
2266420;3,10E+13;0
2266420;3,50E+13;0
2266420;2,02E+13;0
2266420;1,76E+13;1
2274120;1,50E+13;0
2274120;3,51E+13;1
2274420;1,50E+13;1
2274820;1,50E+13;1
659420;2,23E+13;1
2282020;3,39E+13;1
2288420;2,68E+13;0
2288420;3,01E+13;0
2288420;1,80E+13;1
2301920;5,91E+12;1
2302320;5,91E+12;1
2303020;5,91E+12;1
2309620;8,44E+12;1
2313220;1,25E+13;1
2321720;3,46E+13;0
2321720;3,27E+13;0
2321720;1,67E+13;1
2328120;1,46E+12;1
2328320;2,69E+13;1
2331620;3,46E+13;1
2346220;2,91E+13;0
2346220;5,45E+12;0
2346220;3,27E+13;0
2346220;1,99E+13;0
2346220;3,12E+13;0
2346220;2,95E+13;0
2346220;2,19E+13;0
2346220;2,97E+13;1
2363120;2,62E+13;1
2364020;3,27E+13;1
2367420;2,40E+12;1
2367720;2,40E+12;1
689620;1,37E+13;0
689620;7,16E+12;1
2370020;1,76E+13;1
2372920;2,95E+13;1
694120;1,44E+13;1
2377820;2,03E+13;0
2377820;3,03E+13;0
2377820;3,14E+13;0
2377820;1,75E+13;1
2378220;3,14E+13;0
2378220;2,75E+13;0
2378220;1,52E+13;0
2378220;2,03E+13;0
2378220;1,75E+13;1
2397420;2,40E+13;0
2397420;2,46E+13;0
2397420;1,80E+13;0
2397420;2,87E+13;0
2397420;2,68E+13;1
704620;2,28E+13;0
704620;1,52E+13;0
704620;1,78E+13;0
704620;2,70E+13;0
704620;2,65E+13;0
704620;1,74E+13;0
704620;1,21E+13;0
704620;3,25E+13;0
704620;1,88E+13;0
704620;2,97E+13;0
704620;2,20E+13;0
704620;4,88E+12;0
704620;1,50E+13;1
706520;1,36E+13;0
706520;2,97E+13;0
706520;1,52E+13;0
706520;2,70E+13;0
706520;3,25E+13;0
706520;1,74E+13;0
706520;1,88E+13;0
706520;1,78E+13;0
706520;2,77E+13;0
706520;4,88E+12;0
706520;2,28E+13;0
706520;1,21E+13;0
706520;5,88E+12;0
706520;1,50E+13;0
706520;1,54E+13;0
706520;2,65E+13;0
706520;2,28E+13;0
706520;2,00E+13;1
2434120;2,68E+13;1
2442620;5,88E+12;0
2442620;2,77E+13;0
2442620;2,44E+13;0
2442620;3,07E+13;0
2442620;1,75E+13;0
2442620;2,00E+13;0
2442620;1,09E+12;0
2442620;3,60E+13;1
716420;2,99E+13;0
716420;1,07E+13;0
716420;1,52E+13;0
716420;3,07E+13;0
716420;2,43E+13;0
716420;5,88E+12;0
716420;2,97E+13;0
716420;3,27E+13;0
716420;2,78E+13;0
716420;3,12E+13;0
716420;2,98E+13;0
716420;2,47E+13;1
2468320;1,94E+13;0
2468320;2,46E+13;0
2468320;2,68E+13;1
2484720;3,19E+13;0
2484720;2,95E+13;0
2484720;3,50E+13;0
2484720;1,12E+13;0
2484720;2,39E+13;0
2484720;2,11E+13;0
2484720;3,12E+13;0
2484720;1,76E+13;1
720320;1,89E+13;1
2493120;9,13E+12;0
2493120;3,46E+13;0
2493120;2,16E+13;0
2493120;3,61E+13;0
2493120;1,23E+12;0
2493120;1,75E+13;1
2502920;1,79E+13;1
2504720;4,46E+12;1
2506520;5,91E+12;1
2506620;1,11E+13;1
2524820;5,88E+12;1
2525020;1,11E+13;1
2533020;8,77E+12;1
2533420;7,86E+12;0
2533420;1,50E+13;0
2533420;2,52E+13;0
2533420;2,78E+13;1
2533520;1,76E+13;1
2536320;1,34E+13;0
2536320;2,03E+13;0
2536320;1,86E+13;1
2543220;2,99E+13;0
2543220;3,27E+13;0
2543220;5,88E+12;0
2543220;3,07E+13;0
2543220;3,60E+13;0
2543220;1,74E+13;0
2543220;2,44E+13;0
2543220;1,75E+13;0
2543220;2,77E+13;1
744820;2,19E+13;0
744820;7,61E+12;0
744820;2,99E+13;0
744820;2,30E+13;0
744820;3,12E+13;0
744820;1,95E+13;0
744820;5,45E+12;0
744820;3,39E+13;1
2548720;2,03E+13;0
2548720;7,86E+12;0
2548720;2,78E+13;1
2549120;2,52E+13;1
2549520;1,93E+13;0
2549520;8,77E+12;0
2549520;4,09E+13;0
2549520;7,01E+13;1
2554120;1,75E+13;0
2554120;6,45E+11;1
2558720;2,62E+13;1
2563520;5,91E+12;1
2563720;2,68E+13;1
2563720;1,89E+13;1
2563720;8,65E+12;1
2567220;3,38E+13;0
2567220;3,27E+13;0
2567220;1,21E+13;0
2567220;1,09E+12;0
2567220;5,88E+12;0
2567220;3,16E+13;0
2567220;3,25E+13;0
2567220;1,23E+12;0
2567220;1,89E+13;1
2567420;1,35E+13;1
2568720;1,39E+13;1
2574020;1,58E+13;1
2574920;1,07E+13;0
2574920;9,58E+12;0
2574920;1,50E+13;0
2574920;8,58E+12;1
756920;1,86E+13;0
756920;2,79E+13;0
756920;1,34E+13;0
756920;1,38E+13;0
756920;9,05E+12;1
2578920;2,77E+13;0
2578920;5,88E+12;0
2578920;3,38E+13;1
2581120;2,75E+13;1
2581620;2,99E+13;0
2581620;2,51E+13;0
2581620;7,24E+12;1
2584820;2,28E+13;0
2584820;1,82E+13;0
2584820;1,06E+13;1
2595320;3,02E+13;1
2608020;1,03E+13;0
2608020;1,35E+13;0
2608020;9,05E+12;1
2609120;3,11E+13;1
2610820;1,06E+13;1
2610920;1,74E+13;0
2610920;4,44E+12;0
2610920;5,88E+12;0
2610920;2,71E+13;0
2610920;1,03E+13;0
2610920;3,37E+13;1
2611020;7,56E+12;1
2619620;1,55E+13;1
2619620;7,21E+12;1
2619620;3,89E+12;1
774020;1,93E+13;0
774020;9,76E+11;0
774020;1,36E+13;0
774020;1,54E+13;0
774020;7,01E+13;0
774020;4,09E+13;1
774720;7,01E+13;0
774720;4,12E+13;0
774720;1,09E+13;0
774720;9,76E+11;0
774720;9,22E+12;0
774720;4,75E+12;0
774720;1,40E+13;0
774720;9,05E+12;0
774720;1,67E+13;1
2624320;3,61E+13;1
775020;7,01E+13;0
775020;9,05E+12;0
775020;1,07E+13;0
775020;1,54E+13;0
775020;1,93E+13;1
2624620;5,94E+12;0
2624620;1,74E+13;1
775520;4,27E+12;1
2629920;3,39E+13;1
2633820;3,06E+13;0
2633820;3,40E+12;1
780020;2,98E+13;1
780020;2,29E+13;1
780020;2,96E+13;1
2638420;2,29E+13;1
2640720;5,94E+12;0
2640720;1,74E+13;1
2645920;1,94E+13;1
2649920;3,12E+13;1
2650320;2,75E+13;1
2652220;3,16E+13;1
794620;1,67E+13;0
794620;5,11E+12;0
794620;7,11E+12;1
801020;1,36E+13;1
2666920;1,38E+13;0
2666920;1,41E+13;0
2666920;7,91E+12;1
2669020;1,07E+13;0
2669020;3,30E+13;0
2669020;2,56E+12;0
2669020;9,58E+12;0
2669020;8,58E+12;1
2670920;2,68E+13;0
2670920;1,76E+13;0
2670920;2,24E+13;1
803920;2,07E+12;1
2672620;3,11E+13;1
2673320;2,98E+13;1
2674920;9,05E+12;1
2684420;1,38E+13;1
2685920;2,75E+13;1
2689620;2,19E+13;0
2689620;2,39E+13;1
2689820;8,98E+12;1
2700620;1,80E+13;1
2701820;3,07E+13;1
2707320;2,71E+13;0
2707320;1,42E+13;1
2711020;9,34E+12;1
2711420;3,08E+13;1
2718520;2,91E+13;1
2719020;2,19E+13;1
2720720;2,29E+12;1
2722020;3,61E+13;1
827420;4,56E+12;1
2722520;3,06E+13;0
2722520;1,44E+13;1
2725920;1,86E+13;1
2726120;2,18E+13;1
2741120;1,36E+13;0
2741120;1,06E+13;1
2746020;2,19E+13;1
2756520;1,74E+13;1
2771820;2,95E+13;0
2771820;2,26E+13;1
2780120;3,60E+13;1
2783520;1,43E+13;0
2783520;2,68E+13;0
2783520;3,02E+13;1
2788420;7,59E+12;1
2788620;1,76E+13;1
2789920;1,76E+13;1
2794320;9,34E+12;1
2795220;2,73E+13;0
2795220;1,89E+13;1
2795520;3,28E+13;1
2795720;1,94E+13;0
2795720;3,50E+13;0
2795720;1,96E+13;0
2795720;5,94E+12;1
2799020;2,19E+13;1
2799320;2,19E+13;1
2800920;3,07E+13;1
892120;2,12E+13;0
892120;1,76E+13;0
892120;2,19E+13;0
892120;1,52E+13;0
892120;2,29E+13;0
892120;2,44E+13;0
892120;2,99E+13;0
892120;3,27E+13;0
892120;2,87E+13;0
892120;9,34E+12;1
2852620;1,81E+13;0
2852620;1,79E+13;1
2853320;1,56E+13;0
