licit;proponente;situacao
2827219;8,93E+12;1
2836419;7,16E+12;1
2841319;2,51E+13;1
2841719;2,84E+12;1
2842519;1,94E+13;1
2857119;2,05E+13;0
2857119;2,91E+13;1
2878719;1,31E+13;1
2879919;5,91E+12;1
2891219;9,57E+12;1
2892919;1,93E+13;1
2904019;7,64E+12;1
2904219;7,64E+12;1
2904819;8,92E+12;1
2904819;8,60E+12;1
2904819;1,20E+13;1
2910819;3,11E+13;1
2917119;1,52E+13;0
2917119;1,37E+13;1
2924419;3,04E+13;1
787919;2,12E+13;1
2930319;1,06E+13;1
2930419;2,16E+13;0
2930419;3,12E+13;0
2930419;1,73E+13;1
2932519;2,03E+13;1
2939019;2,00E+13;1
2945219;2,03E+13;0
2945219;1,52E+13;0
2945219;3,03E+13;0
2945219;5,94E+12;0
2945219;2,24E+13;1
2945319;1,54E+13;1
2952219;2,30E+13;0
2952219;2,79E+13;1
2953419;3,27E+13;1
2954119;1,47E+13;1
2974419;3,25E+12;1
804119;8,06E+12;1
2998219;2,96E+13;1
3012219;5,44E+12;1
3015819;2,68E+13;0
3015819;2,03E+13;1
3017219;2,79E+13;1
3019519;2,79E+13;1
3020019;1,80E+13;1
3020019;1,10E+13;1
3020319;8,79E+12;1
3021219;1,12E+13;1
3021319;2,93E+13;1
3021419;1,12E+13;1
3039319;1,76E+13;0
3039319;1,71E+13;1
818919;7,61E+12;1
3046119;8,16E+12;1
3056019;5,80E+12;1
3080419;1,67E+13;1
3082919;2,81E+13;0
3082919;3,11E+13;0
3082919;3,02E+13;1
3094119;7,18E+12;0
3094119;1,08E+12;0
3094119;2,63E+13;1
3098719;1,77E+13;1
3098719;1,86E+13;1
3100819;1,23E+12;0
3100819;1,43E+13;0
3100819;1,78E+13;0
3100819;2,75E+12;1
3101619;1,23E+12;0
3101619;2,75E+12;0
3101619;1,78E+13;0
3101619;1,43E+13;0
3101619;1,89E+13;0
3101619;4,33E+12;1
3102419;2,28E+13;1
3106419;1,73E+13;1
3108819;2,28E+13;0
3108819;1,36E+13;1
3114419;3,37E+12;0
3114419;2,52E+13;1
3114919;2,97E+13;1
3115319;2,67E+13;1
848719;1,31E+12;1
848719;8,17E+12;1
3117919;7,18E+12;1
3127219;1,06E+13;1
3128419;1,38E+13;0
3128419;1,12E+13;0
3128419;5,08E+12;1
3129319;2,72E+13;1
3131719;1,12E+13;0
3131719;7,52E+12;0
3131719;1,74E+13;0
3131719;1,52E+13;0
3131719;2,11E+13;0
3131719;2,91E+13;1
3134919;2,65E+13;1
858919;2,38E+13;1
858919;2,38E+12;1
3144719;2,30E+13;0
3144719;5,08E+12;0
3144719;1,12E+13;1
3149319;2,91E+13;0
3149319;1,23E+12;1
3160619;2,16E+13;1
3161019;2,29E+12;1
3161719;4,44E+12;1
3170319;1,23E+12;0
3170319;1,82E+13;0
3170319;2,61E+13;0
3170319;3,03E+13;1
3171019;2,79E+13;0
3171019;3,06E+13;0
3171019;7,36E+12;1
3177919;1,31E+13;0
3177919;2,19E+13;1
3178219;1,31E+13;1
3182619;1,90E+13;1
3182719;2,75E+13;1
3184419;1,48E+13;1
3191319;2,89E+13;0
3191319;1,38E+13;0
3191319;2,03E+13;0
3191319;7,61E+12;0
3191319;2,65E+13;0
3191319;1,74E+13;1
3226419;7,80E+12;1
3230719;7,59E+12;1
3231419;1,03E+13;1
3257919;2,75E+13;1
895119;2,52E+13;0
895119;1,91E+13;0
895119;2,25E+13;1
3271319;1,27E+13;1
3272419;1,81E+13;1
3281919;2,98E+13;0
3281919;2,71E+13;0
3281919;3,56E+13;0
3281919;5,88E+12;1
3281919;2,25E+13;1
3282419;2,70E+13;1
3288919;7,16E+12;1
3289619;2,95E+13;1
3289819;2,16E+13;1
3294619;1,94E+13;1
3306119;1,66E+13;1
3309319;2,96E+13;1
3314619;2,62E+13;0
3314619;8,49E+12;0
3314619;2,35E+13;1
3315519;2,52E+13;1
3324119;7,91E+12;0
3324119;1,93E+13;0
3324119;1,36E+13;0
3324119;1,67E+13;1
3338219;2,46E+13;1
3343419;5,16E+12;0
3343419;1,78E+13;0
3343419;1,52E+13;1
3368919;1,06E+13;1
915819;1,89E+13;0
915819;2,99E+13;0
915819;1,36E+13;0
915819;2,97E+13;0
915819;1,54E+13;0
915819;5,88E+12;0
915819;3,07E+13;1
3380919;7,91E+12;1
3380919;2,02E+13;1
3383519;3,11E+13;1
3401019;1,81E+13;1
923819;1,50E+13;0
923819;3,40E+12;1
3418119;3,10E+13;1
3436019;2,53E+13;1
3436619;1,19E+11;1
3490119;1,06E+13;1
946819;1,12E+13;0
946819;7,61E+12;0
946819;1,34E+13;0
946819;3,56E+13;0
946819;1,94E+13;1
948219;1,08E+12;1
3518919;3,01E+13;1
